Feature,Mean_Abs_SHAP
waiting_days,0.07027434814161718
previous_appointments,0.028538774862487043
missed_previous_appointments,0.01988002166004144
blood_sugar_mg_dl,0.01963976902507156
Missed_Rate,0.014801578749062239
diagnosis,0.01433758738882123
age,0.013987773491898902
bmi,0.009922596099366066
payment_status,0.009503627239393487
department,0.00909245833099443
treatments_count,0.008736972623038184
lab_tests_count,0.008337271899914386
medicine_charge_lkr,0.007747198074599776
payment_method,0.007381115842386774
admitted,0.007331074006966098
total_bill_lkr,0.0064095541045962965
diastolic_bp,0.005481627197907084
blood_group,0.004215467298207957
systolic_bp,0.0040898415694273875
Age_Group,0.003918945509268357
gender,0.0033353113173332344
lab_charge_lkr,0.003065196156737513
length_of_stay_days,0.0022133077358902466
cholesterol_mg_dl,0.0019466023383638517
previous_admissions,0.0010182787548593157
consultation_fee_lkr,0.0009926323507183097
room_type,0.000578465814514994
High_BP,0.0005100603360689684
room_charge_lkr,0.0
