Feature,Coefficient
waiting_days,0.4848605431980424
previous_appointments,-0.32297499103985666
missed_previous_appointments,0.2584701200905421
blood_sugar_mg_dl,0.15824714816589674
age,-0.10651902782402009
diagnosis,-0.09956502496210876
bmi,-0.07750466393770093
department,-0.07168818438765528
systolic_bp,0.04322291618672507
blood_group,0.031458753042917544
diastolic_bp,-0.026798288873089344
Age_Group,-0.02437111308035548
consultation_fee_lkr,-0.022507591440403762
gender,0.02123296334798191
Missed_Rate,-0.018702215150249932
cholesterol_mg_dl,-0.014919507126172706
High_BP,-0.008892189987009193
previous_admissions,0.003964663425310911
