Feature,Mean_Abs_SHAP
waiting_days,0.1021396854448423
missed_previous_appointments,0.05311274028239768
previous_appointments,0.053000713863931175
blood_sugar_mg_dl,0.026779834549260705
diagnosis,0.01939006175176095
age,0.01873061645794161
department,0.014515326444460177
bmi,0.013509447728478827
systolic_bp,0.007955909047271614
blood_group,0.005895511400098499
Age_Group,0.005162503356510823
diastolic_bp,0.004881620923853428
gender,0.004830703300800702
consultation_fee_lkr,0.004394154340333431
Missed_Rate,0.0035372009098587676
cholesterol_mg_dl,0.0024316462014046906
High_BP,0.0019654708284151333
previous_admissions,0.0007748574106818419
